Endereço lógico = 22007      	Quadro = 0    	Offset = 247      	Endereço Físico: 247     	Valor do Byte = 112
Endereço lógico = 47793      	Quadro = 1    	Offset = 177      	Endereço Físico: 433     	Valor do Byte = 185
Endereço lógico = 4986      	Quadro = 2    	Offset = 122      	Endereço Físico: 634     	Valor do Byte = 154
Endereço lógico = 17493      	Quadro = 3    	Offset = 85      	Endereço Físico: 853     	Valor do Byte = 162
Endereço lógico = 7018      	Quadro = 4    	Offset = 106      	Endereço Físico: 1130     	Valor do Byte = 50
Endereço lógico = 29965      	Quadro = 5    	Offset = 13      	Endereço Físico: 1293     	Valor do Byte = 70
Endereço lógico = 1377      	Quadro = 6    	Offset = 97      	Endereço Físico: 1633     	Valor do Byte = 15
Endereço lógico = 22035      	Quadro = 7    	Offset = 19      	Endereço Físico: 1811     	Valor do Byte = 126
Endereço lógico = 10345      	Quadro = 8    	Offset = 105      	Endereço Físico: 2153     	Valor do Byte = 170
Endereço lógico = 64547      	Quadro = 9    	Offset = 35      	Endereço Físico: 2339     	Valor do Byte = 181
Endereço lógico = 3321      	Quadro = 10    	Offset = 249      	Endereço Físico: 2809     	Valor do Byte = 89
Endereço lógico = 32806      	Quadro = 11    	Offset = 38      	Endereço Físico: 2854     	Valor do Byte = 91
Endereço lógico = 6037      	Quadro = 12    	Offset = 149      	Endereço Físico: 3221     	Valor do Byte = 222
Endereço lógico = 21736      	Quadro = 13    	Offset = 232      	Endereço Físico: 3560     	Valor do Byte = 81
Endereço lógico = 10125      	Quadro = 14    	Offset = 141      	Endereço Físico: 3725     	Valor do Byte = 143
Endereço lógico = 20627      	Quadro = 15    	Offset = 147      	Endereço Físico: 3987     	Valor do Byte = 45
Endereço lógico = 29680      	Quadro = 16    	Offset = 240      	Endereço Físico: 4336     	Valor do Byte = 160
Endereço lógico = 54696      	Quadro = 17    	Offset = 168      	Endereço Físico: 4520     	Valor do Byte = 119
Endereço lógico = 34913      	Quadro = 18    	Offset = 97      	Endereço Físico: 4705     	Valor do Byte = 64
Endereço lógico = 54987      	Quadro = 19    	Offset = 203      	Endereço Físico: 5067     	Valor do Byte = 16
Endereço lógico = 65031      	Quadro = 20    	Offset = 7      	Endereço Físico: 5127     	Valor do Byte = 199
Endereço lógico = 53760      	Quadro = 21    	Offset = 0      	Endereço Físico: 5376     	Valor do Byte = 31
Endereço lógico = 28867      	Quadro = 22    	Offset = 195      	Endereço Físico: 5827     	Valor do Byte = 121
Endereço lógico = 2744      	Quadro = 23    	Offset = 184      	Endereço Físico: 6072     	Valor do Byte = 213
Endereço lógico = 52982      	Quadro = 24    	Offset = 246      	Endereço Físico: 6390     	Valor do Byte = 165
Endereço lógico = 64878      	Quadro = 25    	Offset = 110      	Endereço Físico: 6510     	Valor do Byte = 82
Endereço lógico = 38138      	Quadro = 26    	Offset = 250      	Endereço Físico: 6906     	Valor do Byte = 171
Endereço lógico = 18317      	Quadro = 27    	Offset = 141      	Endereço Físico: 7053     	Valor do Byte = 150
Endereço lógico = 790      	Quadro = 28    	Offset = 22      	Endereço Físico: 7190     	Valor do Byte = 1
Endereço lógico = 59638      	Quadro = 29    	Offset = 246      	Endereço Físico: 7670     	Valor do Byte = 26
Endereço lógico = 48550      	Quadro = 30    	Offset = 166      	Endereço Físico: 7846     	Valor do Byte = 1
Endereço lógico = 62926      	Quadro = 31    	Offset = 206      	Endereço Físico: 8142     	Valor do Byte = 48
Endereço lógico = 49025      	Quadro = 32    	Offset = 129      	Endereço Físico: 8321     	Valor do Byte = 77
Endereço lógico = 10285      	Quadro = 8    	Offset = 45      	Endereço Físico: 2093     	Valor do Byte = 98
Endereço lógico = 19771      	Quadro = 33    	Offset = 59      	Endereço Físico: 8507     	Valor do Byte = 237
Endereço lógico = 48143      	Quadro = 34    	Offset = 15      	Endereço Físico: 8719     	Valor do Byte = 11
Endereço lógico = 11676      	Quadro = 35    	Offset = 156      	Endereço Físico: 9116     	Valor do Byte = 191
Endereço lógico = 8453      	Quadro = 36    	Offset = 5      	Endereço Físico: 9221     	Valor do Byte = 79
Endereço lógico = 36025      	Quadro = 37    	Offset = 185      	Endereço Físico: 9657     	Valor do Byte = 65
Endereço lógico = 31076      	Quadro = 38    	Offset = 100      	Endereço Físico: 9828     	Valor do Byte = 157
Endereço lógico = 27713      	Quadro = 39    	Offset = 65      	Endereço Físico: 10049     	Valor do Byte = 1
Endereço lógico = 42895      	Quadro = 40    	Offset = 143      	Endereço Físico: 10383     	Valor do Byte = 103
Endereço lógico = 5879      	Quadro = 41    	Offset = 247      	Endereço Físico: 10743     	Valor do Byte = 9
Endereço lógico = 52122      	Quadro = 42    	Offset = 154      	Endereço Físico: 10906     	Valor do Byte = 107
Endereço lógico = 22115      	Quadro = 7    	Offset = 99      	Endereço Físico: 1891     	Valor do Byte = 225
Endereço lógico = 434      	Quadro = 43    	Offset = 178      	Endereço Físico: 11186     	Valor do Byte = 125
Endereço lógico = 16752      	Quadro = 44    	Offset = 112      	Endereço Físico: 11376     	Valor do Byte = 224
Endereço lógico = 6244      	Quadro = 45    	Offset = 100      	Endereço Físico: 11620     	Valor do Byte = 159
Endereço lógico = 62646      	Quadro = 46    	Offset = 182      	Endereço Físico: 11958     	Valor do Byte = 23
Endereço lógico = 30213      	Quadro = 47    	Offset = 5      	Endereço Físico: 12037     	Valor do Byte = 173
Endereço lógico = 24494      	Quadro = 48    	Offset = 174      	Endereço Físico: 12462     	Valor do Byte = 195
Endereço lógico = 55952      	Quadro = 49    	Offset = 144      	Endereço Físico: 12688     	Valor do Byte = 86
